,name,description,member
25494,ASCL2,YWHAG,colon
25495,ASCL2,AC005522.6,colon
25496,ASCL2,PTPN12,colon
25499,ASCL2,LRCH4,colon
25500,ASCL2,FBXO24,colon
25502,ASCL2,LINC01004,colon
25503,ASCL2,KMT2E,colon
25504,ASCL2,KMT2E-AS1,colon
25506,ASCL2,ADCK2,colon
25507,ASCL2,DENND2A,colon
25512,ASCL2,ZNF775,colon
25515,ASCL2,ESYT2,colon
25518,ASCL2,GOLPH3,colon
25519,ASCL2,CTD-2186M15.3,colon
25521,ASCL2,MRPS27,colon
25524,ASCL2,ALDH7A1,colon
25525,ASCL2,CDKN2AIPNL,colon
25526,ASCL2,KDM3B,colon
25528,ASCL2,AC034243.1,colon
25530,ASCL2,LINC01024,colon
25531,ASCL2,PURA,colon
25532,ASCL2,CTB-131B5.5,colon
25533,ASCL2,HBEGF,colon
25535,ASCL2,CTB-79E8.2,colon
25536,ASCL2,ERGIC1,colon
25538,ASCL2,RPL26L1,colon
25539,ASCL2,CTC-308K20.1,colon
25540,ASCL2,FAF2,colon
25544,ASCL2,PRR7-AS1,colon
25545,ASCL2,PRR7,colon
25546,ASCL2,DBN1,colon
25547,ASCL2,PDLIM7,colon
25548,ASCL2,RP11-1334A24.6,colon
25551,ASCL2,MAML1,colon
25552,ASCL2,RNF130,colon
25555,ASCL2,RP11-297A16.2,colon
25556,ASCL2,CREM,colon
25559,ASCL2,DDIT4,colon
25560,ASCL2,RP11-442H21.2,colon
25561,ASCL2,COMTD1,colon
25562,ASCL2,PPIF,colon
25564,ASCL2,PGAM1,colon
25565,ASCL2,NSMCE4A,colon
25566,ASCL2,RP11-298J20.4,colon
25567,ASCL2,FSTL3,colon
25572,ASCL2,MLLT1,colon
25573,ASCL2,SMARCA4,colon
25574,ASCL2,CTD-2659N19.9,colon
25576,ASCL2,JUNB,colon
25577,ASCL2,HOOK2,colon
25578,ASCL2,CTD-2659N19.10,colon
25583,ASCL2,SNORA68,colon
25585,ASCL2,SLC5A5,colon
25587,ASCL2,MIR3189,colon
25589,ASCL2,CEBPA,colon
25590,ASCL2,CEBPA-AS1,colon
25598,ASCL2,SLC1A5,colon
25599,ASCL2,CTB-147N14.6,colon
25600,ASCL2,BBC3,colon
25601,ASCL2,MIR3190,colon
25602,ASCL2,FAM83E,colon
25604,ASCL2,CA11,colon
25605,ASCL2,SLC17A7,colon
25608,ASCL2,PPP6R1,colon
25609,ASCL2,ZNF865,colon
25610,ASCL2,CTD-2619J13.14,colon
25611,ASCL2,ZNF584,colon
25612,ASCL2,CTD-2619J13.23,colon
25613,ASCL2,ZNF446,colon
25614,ASCL2,SPRED1,colon
25616,ASCL2,RP11-540O11.1,colon
25617,ASCL2,CHAC1,colon
25618,ASCL2,CCNDBP1,colon
25619,ASCL2,RP11-473C18.3,colon
25620,ASCL2,CTD-2650P22.2,colon
25621,ASCL2,CTD-2650P22.1,colon
25623,ASCL2,ZNF280D,colon
25624,ASCL2,TCF12,colon
25628,ASCL2,MTFMT,colon
25629,ASCL2,SNORA24,colon
25633,ASCL2,AC107871.1,colon
25634,ASCL2,RP11-315D16.2,colon
25637,ASCL2,CLK3,colon
25638,ASCL2,CTD-3154N5.1,colon
25639,ASCL2,CSK,colon
