,name,description,member
413384,ETS2,RNU1-117P,colon
413385,ETS2,UBE2N,colon
413386,ETS2,MRPL42,colon
413387,ETS2,CRADD,colon
413388,ETS2,LTA4H,colon
413389,ETS2,SLC25A3,colon
413390,ETS2,DEPDC4,colon
413391,ETS2,SCYL2,colon
413392,ETS2,CCDC53,colon
413393,ETS2,RP11-554E23.4,colon
413394,ETS2,NUP37,colon
413395,ETS2,PARPBP,colon
413396,ETS2,NT5DC3,colon
413397,ETS2,RP11-650K20.3,colon
413398,ETS2,HSP90B1,colon
413399,ETS2,GNN,colon
413400,ETS2,MIR3652,colon
413401,ETS2,C12orf73,colon
413402,ETS2,TDG,colon
413403,ETS2,SLC41A2,colon
413404,ETS2,RNU7-94P,colon
413405,ETS2,TCP11L2,colon
413406,ETS2,CKAP4,colon
413407,ETS2,RP11-412D9.4,colon
413408,ETS2,TMEM263,colon
413409,ETS2,MTERF2,colon
413410,ETS2,CRY1,colon
413411,ETS2,PWP1,colon
413412,ETS2,USP30,colon
413413,ETS2,ALKBH2,colon
413414,ETS2,ATP2A2,colon
413415,ETS2,HMGA1P3,colon
413416,ETS2,ARPC3,colon
413417,ETS2,RP11-478C19.2,colon
413419,ETS2,GPN3,colon
413420,ETS2,FAM216A,colon
413421,ETS2,PPTC7,colon
413422,ETS2,TCTN1,colon
413423,ETS2,FAM109A,colon
413424,ETS2,RP3-473L9.4,colon
413425,ETS2,ALDH2,colon
413426,ETS2,TMEM116,colon
413427,ETS2,ERP29,colon
413429,ETS2,OAS3,colon
413430,ETS2,TAOK3,colon
413431,ETS2,PRKAB1,colon
413432,ETS2,RP11-768F21.1,colon
413433,ETS2,GCN1L1,colon
413434,ETS2,RPLP0,colon
413435,ETS2,PXN-AS1,colon
413436,ETS2,PXN,colon
413437,ETS2,RNU4-2,colon
413438,ETS2,RNU4-1,colon
413439,ETS2,SIRT4,colon
413440,ETS2,PSMD9,colon
413441,ETS2,RP11-87C12.2,colon
413442,ETS2,SNORA9,colon
413443,ETS2,ZCCHC8,colon
413444,ETS2,RP11-15J22.8,colon
413445,ETS2,RSRC2,colon
413446,ETS2,RP11-463O12.5,colon
413447,ETS2,VPS37B,colon
413448,ETS2,ABCB9,colon
413449,ETS2,OGFOD2,colon
413450,ETS2,RP11-197N18.2,colon
413451,ETS2,MIR8072,colon
413452,ETS2,SBNO1,colon
413453,ETS2,MIR8072,colon
413454,ETS2,UBC,colon
413455,ETS2,MIR5188,colon
413456,ETS2,RPL22P19,colon
413457,ETS2,DHX37,colon
413458,ETS2,GOLPH3,colon
413459,ETS2,CTD-2186M15.3,colon
413460,ETS2,ZFR,colon
413461,ETS2,RAD1,colon
413462,ETS2,BRIX1,colon
413463,ETS2,DNAJC21,colon
413464,ETS2,NADK2,colon
413465,ETS2,HMGCS1,colon
413466,ETS2,C5orf28,colon
413467,ETS2,RP11-159F24.3,colon
413468,ETS2,SETD9,colon
413469,ETS2,AC008937.3,colon
413470,ETS2,GPBP1,colon
413471,ETS2,PDE4D,colon
413472,ETS2,DEPDC1B,colon
413473,ETS2,CTC-436P18.1,colon
413474,ETS2,SMIM15,colon
413475,ETS2,CCNB1,colon
413476,ETS2,CTC-351M12.1,colon
413477,ETS2,CENPH,colon
413478,ETS2,ENC1,colon
413479,ETS2,HEXB,colon
413480,ETS2,COL4A3BP,colon
413481,ETS2,POLK,colon
413482,ETS2,ZBED3-AS1,colon
413483,ETS2,ZBED3,colon
413485,ETS2,DMGDH,colon
413486,ETS2,JMY,colon
413487,ETS2,MTX3,colon
413488,ETS2,THBS4,colon
413489,ETS2,SERINC5,colon
413490,ETS2,MTRNR2L2,colon
413491,ETS2,DHFR,colon
413492,ETS2,MSH3,colon
413493,ETS2,TMEM167A,colon
413494,ETS2,XRCC4,colon
413495,ETS2,GPR98,colon
413496,ETS2,LYSMD3,colon
413497,ETS2,RP11-213H15.1,colon
413498,ETS2,TTC37,colon
413499,ETS2,ARSK,colon
413500,ETS2,CAST,colon
413501,ETS2,ERAP1,colon
413502,ETS2,ERAP2,colon
413503,ETS2,LNPEP,colon
413504,ETS2,CTD-2260A17.2,colon
413505,ETS2,STARD4-AS1,colon
413506,ETS2,STARD4,colon
413507,ETS2,ATG12,colon
413508,ETS2,AP3S1,colon
413509,ETS2,AC026449.1,colon
413510,ETS2,TNFAIP8,colon
413511,ETS2,GRAMD3,colon
413512,ETS2,HINT1,colon
413513,ETS2,LYRM7,colon
413514,ETS2,RAPGEF6,colon
413515,ETS2,SLC22A4,colon
413516,ETS2,P4HA2,colon
413517,ETS2,RAD50,colon
413518,ETS2,IL5,colon
413519,ETS2,SKP1,colon
413520,ETS2,CDKN2AIPNL,colon
413521,ETS2,CAMLG,colon
413522,ETS2,DDX46,colon
413523,ETS2,SPATA24,colon
413524,ETS2,DNAJC18,colon
413525,ETS2,PFDN1,colon
413526,ETS2,HBEGF,colon
413527,ETS2,CTC-329D1.2,colon
413528,ETS2,ANKHD1,colon
413529,ETS2,ANKHD1-EIF4EBP3,colon
413530,ETS2,TMCO6,colon
413531,ETS2,IK,colon
413532,ETS2,WDR55,colon
413533,ETS2,HARS,colon
413534,ETS2,HARS2,colon
413535,ETS2,ZMAT2,colon
413536,ETS2,VTRNA1-1,colon
413537,ETS2,VTRNA1-2,colon
413538,ETS2,VTRNA1-3,colon
413539,ETS2,AC008781.7,colon
413540,ETS2,DIAPH1,colon
413541,ETS2,HDAC3,colon
413543,ETS2,FCHSD1,colon
413544,ETS2,PCDH1,colon
413545,ETS2,GNPDA1,colon
413546,ETS2,SH3RF2,colon
413547,ETS2,RP11-373N22.3,colon
413548,ETS2,FBXO38,colon
413549,ETS2,CSNK1A1,colon
413550,ETS2,TCOF1,colon
413551,ETS2,DCTN4,colon
413552,ETS2,SMIM3,colon
413553,ETS2,ATOX1,colon
413554,ETS2,CTB-113P19.3,colon
413555,ETS2,RP11-54C4.1,colon
413556,ETS2,G3BP1,colon
413557,ETS2,RP11-54C4.3,colon
413558,ETS2,LARP1,colon
413559,ETS2,PWWP2A,colon
413560,ETS2,ZBED8,colon
413561,ETS2,SLU7,colon
413562,ETS2,PTTG1,colon
413563,ETS2,NUDCD2,colon
413564,ETS2,HMMR,colon
413565,ETS2,MAT2B,colon
413566,ETS2,PANK3,colon
413567,ETS2,FBXW11,colon
413568,ETS2,STK10,colon
413569,ETS2,SH3PXD2B,colon
413570,ETS2,BOD1,colon
413571,ETS2,FAF2,colon
413572,ETS2,RNF44,colon
413573,ETS2,MXD3,colon
413574,ETS2,LMAN2,colon
413575,ETS2,SLC34A1,colon
413576,ETS2,PFN3,colon
413577,ETS2,PRR7-AS1,colon
413578,ETS2,PRR7,colon
413579,ETS2,PDLIM7,colon
413580,ETS2,NHP2,colon
413581,ETS2,HNRNPAB,colon
413582,ETS2,RN7SL838P,colon
413583,ETS2,ANO9,colon
413584,ETS2,PTDSS2,colon
413585,ETS2,CARS,colon
413586,ETS2,RHOG,colon
413587,ETS2,STIM1,colon
413588,ETS2,AC090587.4,colon
413589,ETS2,AC090587.5,colon
413590,ETS2,MIR4687,colon
413592,ETS2,RPL27A,colon
413593,ETS2,SNORA45A,colon
413594,ETS2,SNORA45B,colon
413595,ETS2,RP11-152H18.3,colon
413596,ETS2,ST5,colon
413597,ETS2,IPO7,colon
413598,ETS2,ZNF143,colon
413599,ETS2,CTD-2371O3.3,colon
413600,ETS2,AMPD3,colon
413601,ETS2,PIK3C2A,colon
413602,ETS2,NUCB2,colon
413603,ETS2,LDHA,colon
413604,ETS2,TSG101,colon
413605,ETS2,UEVLD,colon
413606,ETS2,HTATIP2,colon
413607,ETS2,KIF18A,colon
413608,ETS2,METTL15,colon
413609,ETS2,CSTF3,colon
413610,ETS2,CSTF3-AS1,colon
413611,ETS2,NAT10,colon
413612,ETS2,PRR5L,colon
413613,ETS2,ACCS,colon
413614,ETS2,SLC35C1,colon
413615,ETS2,AMBRA1,colon
413616,ETS2,HARBI1,colon
413617,ETS2,ATG13,colon
413618,ETS2,DDB2,colon
413619,ETS2,ACP2,colon
413620,ETS2,NR1H3,colon
413621,ETS2,FNBP4,colon
413622,ETS2,NUP160,colon
413624,ETS2,CLP1,colon
413625,ETS2,YPEL4,colon
413626,ETS2,ZDHHC5,colon
413627,ETS2,AP000442.4,colon
413628,ETS2,OSBP,colon
413629,ETS2,AP000442.1,colon
413630,ETS2,PATL1,colon
413631,ETS2,AP000640.2,colon
413632,ETS2,STX3,colon
413633,ETS2,PRPF19,colon
413634,ETS2,RP11-881M11.2,colon
413635,ETS2,TMEM109,colon
413636,ETS2,RP11-881M11.1,colon
413637,ETS2,INCENP,colon
413638,ETS2,AHNAK,colon
413639,ETS2,RP11-864I4.4,colon
413640,ETS2,B3GAT3,colon
413641,ETS2,LBHD1,colon
413642,ETS2,UQCC3,colon
413643,ETS2,BSCL2,colon
413644,ETS2,GNG3,colon
413645,ETS2,TTC9C,colon
413646,ETS2,ZBTB3,colon
413647,ETS2,POLR2G,colon
413648,ETS2,TAF6L,colon
413649,ETS2,RP11-727F15.11,colon
413650,ETS2,RP11-727F15.12,colon
413651,ETS2,TMEM179B,colon
413652,ETS2,MIR6748,colon
413653,ETS2,TMEM223,colon
413654,ETS2,STIP1,colon
413655,ETS2,DNAJC4,colon
413656,ETS2,RP11-783K16.14,colon
413657,ETS2,VEGFB,colon
413658,ETS2,FKBP2,colon
413659,ETS2,PPP1R14B,colon
413660,ETS2,RP11-783K16.5,colon
413661,ETS2,RP11-783K16.13,colon
413662,ETS2,PLCB3,colon
413663,ETS2,GPR137,colon
413664,ETS2,BAD,colon
413665,ETS2,TRMT112,colon
413666,ETS2,PRDX5,colon
413667,ETS2,ATG2A,colon
413668,ETS2,PPP2R5B,colon
413669,ETS2,CDCA5,colon
413670,ETS2,ZFPL1,colon
413671,ETS2,TMEM262,colon
413672,ETS2,VPS51,colon
413673,ETS2,AP003068.9,colon
413674,ETS2,TM7SF2,colon
413675,ETS2,AP003068.12,colon
413676,ETS2,ZNHIT2,colon
413677,ETS2,RP11-399J13.2,colon
413678,ETS2,FAU,colon
413679,ETS2,MRPL49,colon
413680,ETS2,MIR6751,colon
413681,ETS2,SYVN1,colon
413682,ETS2,SLC25A45,colon
413683,ETS2,NEAT1,colon
413684,ETS2,NEAT1_1,colon
413685,ETS2,NEAT1_2,colon
413686,ETS2,NEAT1_3,colon
413687,ETS2,CMB9-22P13.2,colon
413688,ETS2,MALAT1,colon
413689,ETS2,AP000769.7,colon
413690,ETS2,MALAT1,colon
413691,ETS2,MALAT1;,colon
413692,ETS2,mascRNA-menRNA,colon
413693,ETS2,LTBP3,colon
413694,ETS2,RP11-1167A19.6,colon
413695,ETS2,EIF1AD,colon
413696,ETS2,BANF1,colon
413697,ETS2,GAL3ST3,colon
413698,ETS2,SF3B2,colon
413699,ETS2,PACS1,colon
413700,ETS2,RIN1,colon
413701,ETS2,RP11-867G23.12,colon
413702,ETS2,BRMS1,colon
413703,ETS2,B3GNT1,colon
413704,ETS2,RP11-867G23.8,colon
413705,ETS2,SLC29A2,colon
413707,ETS2,MRPL11,colon
413708,ETS2,DPP3,colon
413709,ETS2,CTD-3074O7.5,colon
413710,ETS2,CTD-3074O7.11,colon
413711,ETS2,BBS1,colon
413712,ETS2,KDM2A,colon
413713,ETS2,RAD9A,colon
413715,ETS2,RPS6KB2,colon
413716,ETS2,CABP4,colon
413717,ETS2,TMEM134,colon
413718,ETS2,PITPNM1,colon
413719,ETS2,CDK2AP2,colon
413720,ETS2,GSTP1,colon
413721,ETS2,RP11-655M14.12,colon
413722,ETS2,C11orf72,colon
413723,ETS2,NDUFV1,colon
413725,ETS2,RP11-655M14.13,colon
413726,ETS2,NUDT8,colon
413728,ETS2,ACY3,colon
413729,ETS2,AP003385.2,colon
413730,ETS2,CHKA,colon
413731,ETS2,CTD-2655K5.1,colon
413732,ETS2,AP000487.5,colon
413733,ETS2,CTTN,colon
413734,ETS2,AP002490.1,colon
413735,ETS2,LRTOMT,colon
413736,ETS2,NUMA1,colon
413737,ETS2,LAMTOR1,colon
413738,ETS2,STARD10,colon
413739,ETS2,ARAP1,colon
413740,ETS2,ATG16L2,colon
413741,ETS2,COA4,colon
413742,ETS2,PAAF1,colon
413743,ETS2,RP11-691F15.1,colon
413744,ETS2,C2CD3,colon
413745,ETS2,PPME1,colon
413746,ETS2,RPS3,colon
413747,ETS2,SNORD15A,colon
413748,ETS2,SNORD15B,colon
413749,ETS2,KLHL35,colon
413750,ETS2,PAK1,colon
413751,ETS2,CLNS1A,colon
413752,ETS2,DDIAS,colon
413753,ETS2,PRCP,colon
413754,ETS2,RAB30,colon
413755,ETS2,RAB30-AS1,colon
413757,ETS2,RP11-113K21.4,colon
413758,ETS2,CREBZF,colon
413759,ETS2,CEP295,colon
413760,ETS2,ALKBH8,colon
413761,ETS2,SIK2,colon
413762,ETS2,RBM7,colon
413763,ETS2,C11orf71,colon
413764,ETS2,REXO2,colon
413765,ETS2,ZPR1,colon
413767,ETS2,UPK2,colon
413768,ETS2,BCL9L,colon
413769,ETS2,RN7SL688P,colon
413771,ETS2,RP11-110I1.12,colon
413772,ETS2,CCDC84,colon
413773,ETS2,RPL23AP64,colon
413774,ETS2,RP11-110I1.11,colon
413775,ETS2,RP11-110I1.5,colon
413776,ETS2,RPS25,colon
413777,ETS2,TRAPPC4,colon
413778,ETS2,MIR3656,colon
413779,ETS2,SLC37A4,colon
413781,ETS2,HYOU1,colon
413782,ETS2,RP11-110I1.14,colon
413783,ETS2,VPS11,colon
413784,ETS2,RP11-110I1.13,colon
413785,ETS2,HMBS,colon
413786,ETS2,H2AFX,colon
413787,ETS2,DPAGT1,colon
413788,ETS2,C2CD2L,colon
413789,ETS2,HINFP,colon
413790,ETS2,RNF26,colon
413792,ETS2,ARL8B,colon
413793,ETS2,RAD18,colon
413794,ETS2,TADA3,colon
413795,ETS2,ARPC4,colon
413796,ETS2,ARPC4-TTLL3,colon
413797,ETS2,CIDEC,colon
413798,ETS2,JAGN1,colon
413799,ETS2,IL17RE,colon
413800,ETS2,EMC3,colon
413801,ETS2,EMC3-AS1,colon
413802,ETS2,TSEN2,colon
413803,ETS2,HACL1,colon
413804,ETS2,BTD,colon
413805,ETS2,SGOL1,colon
413806,ETS2,NKIRAS1,colon
413807,ETS2,RPL15,colon
413808,ETS2,NR1D2,colon
413809,ETS2,CMC1,colon
413810,ETS2,TGFBR2,colon
413811,ETS2,AC096921.2,colon
413812,ETS2,OSBPL10,colon
413813,ETS2,GPD1L,colon
413814,ETS2,EPM2AIP1,colon
413815,ETS2,MLH1,colon
413816,ETS2,SLC25A38,colon
413817,ETS2,RPSA,colon
413818,ETS2,SNORA6,colon
413819,ETS2,SNORA62,colon
413820,ETS2,ZNF620,colon
413821,ETS2,VIPR1,colon
413822,ETS2,SS18L2,colon
413823,ETS2,SEC22C,colon
413824,ETS2,NKTR,colon
413825,ETS2,TCAIM,colon
413826,ETS2,RP11-424N24.2,colon
413827,ETS2,FYCO1,colon
413828,ETS2,LRRC2-AS1,colon
413829,ETS2,DHX30,colon
413830,ETS2,MAP4,colon
413833,ETS2,CDC25A,colon
413834,ETS2,MIR4443,colon
413835,ETS2,ZNF589,colon
413836,ETS2,PLXNB1,colon
413837,ETS2,CCDC51,colon
413838,ETS2,TMA7,colon
413839,ETS2,RP11-24C3.2,colon
413840,ETS2,ATRIP,colon
413841,ETS2,SHISA5,colon
413842,ETS2,PFKFB4,colon
413843,ETS2,UQCRC1,colon
413845,ETS2,CELSR3,colon
413846,ETS2,CELSR3-AS1,colon
413847,ETS2,P4HTM,colon
413848,ETS2,WDR6,colon
413849,ETS2,DALRD3,colon
413850,ETS2,MIR425,colon
413851,ETS2,NDUFAF3,colon
413852,ETS2,MIR191,colon
413853,ETS2,IMPDH2,colon
413854,ETS2,RP13-131K19.6,colon
413855,ETS2,QRICH1,colon
413856,ETS2,QARS,colon
413857,ETS2,IP6K1,colon
413858,ETS2,MST1R,colon
413859,ETS2,CTD-2330K9.2,colon
413860,ETS2,CTD-2330K9.3,colon
413861,ETS2,MON1A,colon
413862,ETS2,RBM6,colon
413863,ETS2,GNAI2,colon
413864,ETS2,MIR5787,colon
413865,ETS2,IFRD2,colon
413866,ETS2,HYAL3,colon
413867,ETS2,NAT6,colon
413868,ETS2,HYAL1,colon
413869,ETS2,HYAL2,colon
413870,ETS2,TUSC2,colon
413871,ETS2,RASSF1,colon
413872,ETS2,ZMYND10-AS1,colon
413873,ETS2,ZMYND10,colon
413874,ETS2,NPRL2,colon
413875,ETS2,CYB561D2,colon
413876,ETS2,XXcos-LUCA11.5,colon
413877,ETS2,TMEM115,colon
413878,ETS2,CYB561D2,colon
413880,ETS2,VPRBP,colon
413881,ETS2,PCBP4,colon
413882,ETS2,ABHD14A,colon
413883,ETS2,RP11-155D18.12,colon
413884,ETS2,ABHD14B,colon
413885,ETS2,ABHD14A-ACY1,colon
413886,ETS2,ACY1,colon
413887,ETS2,RPL29,colon
413888,ETS2,POC1A,colon
413889,ETS2,ALAS1,colon
413890,ETS2,NEK4,colon
413891,ETS2,RFT1,colon
413892,ETS2,FLNB,colon
413893,ETS2,SLC25A26,colon
413894,ETS2,EOGT,colon
413895,ETS2,CTD-2013N24.2,colon
413896,ETS2,TMF1,colon
413897,ETS2,FRMD4B,colon
413898,ETS2,GBE1,colon
413899,ETS2,DCBLD2,colon
413900,ETS2,CTD-2021J15.1,colon
413901,ETS2,ZBTB11-AS1,colon
413902,ETS2,ZBTB11,colon
413903,ETS2,RPL24,colon
413904,ETS2,CEP97,colon
413905,ETS2,NFKBIZ,colon
413906,ETS2,GTPBP8,colon
413907,ETS2,RP11-484K9.4,colon
413908,ETS2,C3orf17,colon
413909,ETS2,RP11-572M11.4,colon
413910,ETS2,RABL3,colon
413911,ETS2,GTF2E1,colon
413912,ETS2,PDIA5,colon
413913,ETS2,RPN1,colon
413914,ETS2,RAB7A,colon
413915,ETS2,ACAD9,colon
413916,ETS2,RP11-434H6.7,colon
413917,ETS2,CNBP,colon
413918,ETS2,TMCC1,colon
413919,ETS2,CDV3,colon
413920,ETS2,MSL2,colon
413922,ETS2,PCCB,colon
413923,ETS2,STAG1,colon
413924,ETS2,RP11-102M11.2,colon
413925,ETS2,CEP70,colon
413926,ETS2,PIK3CB,colon
413927,ETS2,MRPS22,colon
413929,ETS2,COPB2,colon
413930,ETS2,RP11-319G6.1,colon
413931,ETS2,ZBTB38,colon
413932,ETS2,RASA2,colon
413933,ETS2,SERP1,colon
413934,ETS2,EIF2A,colon
413935,ETS2,LEKR1,colon
413936,ETS2,LINC00881,colon
413937,ETS2,LINC00880,colon
413938,ETS2,CCNL1,colon
413939,ETS2,Y_RNA,colon
413940,ETS2,RP11-555M1.3,colon
413942,ETS2,RSRC1,colon
413943,ETS2,GFM1,colon
413944,ETS2,MFSD1,colon
413945,ETS2,RP11-379F4.4,colon
413946,ETS2,RARRES1,colon
413947,ETS2,Telomerase-vert,colon
413948,ETS2,TERC,colon
413949,ETS2,RP11-816J6.3,colon
413950,ETS2,ACTRT3,colon
413951,ETS2,MYNN,colon
413953,ETS2,RPL22L1,colon
413954,ETS2,AC007919.18,colon
413955,ETS2,TNFSF10,colon
413956,ETS2,NCEH1,colon
413957,ETS2,ZNF639,colon
413958,ETS2,RP11-225N10.1,colon
413959,ETS2,ATP11B,colon
413960,ETS2,MCCC1,colon
413961,ETS2,KLHL24,colon
413962,ETS2,ABCC5-AS1,colon
413963,ETS2,ABCC5,colon
413964,ETS2,RP11-778D9.13,colon
413965,ETS2,EIF2B5,colon
413966,ETS2,RP11-778D9.12,colon
413967,ETS2,AP2M1,colon
413968,ETS2,ABCF3,colon
413969,ETS2,SENP2,colon
413970,ETS2,TBCCD1,colon
413971,ETS2,DNAJB11,colon
413974,ETS2,EIF4A2,colon
413975,ETS2,RP11-573D15.9,colon
413976,ETS2,SNORD2,colon
413977,ETS2,SNORA63,colon
413978,ETS2,SNORA81,colon
413979,ETS2,SNORA63,colon
413980,ETS2,SNORA4,colon
413981,ETS2,RFC4,colon
413982,ETS2,RP11-573D15.3,colon
413983,ETS2,RP11-135A1.2,colon
413984,ETS2,HES1,colon
413985,ETS2,RN7SL215P,colon
413986,ETS2,TMEM44-AS1,colon
413987,ETS2,PAK2,colon
413989,ETS2,AC128709.4,colon
413990,ETS2,AC128709.3,colon
413991,ETS2,AC128709.2,colon
413992,ETS2,KIAA0226,colon
413993,ETS2,FYTTD1,colon
413994,ETS2,IQCG,colon
413995,ETS2,RPL35A,colon
413996,ETS2,LMLN,colon
413997,ETS2,POLR2E,colon
413998,ETS2,GPX4,colon
413999,ETS2,ATP5D,colon
414000,ETS2,NDUFS7,colon
414001,ETS2,RPS15,colon
414002,ETS2,CTB-25B13.5,colon
414003,ETS2,C19orf25,colon
414004,ETS2,PCSK4,colon
414005,ETS2,ADAMTSL5,colon
414006,ETS2,CTB-25B13.9,colon
414007,ETS2,SCAMP4,colon
414008,ETS2,ADAT3,colon
414009,ETS2,LSM7,colon
414010,ETS2,SPPL2B,colon
414011,ETS2,TIMM13,colon
414012,ETS2,LMNB2,colon
414014,ETS2,GADD45B,colon
414015,ETS2,SGTA,colon
414016,ETS2,THOP1,colon
414017,ETS2,ZNF554,colon
414018,ETS2,ZNF77,colon
414019,ETS2,TLE6,colon
414020,ETS2,APBA3,colon
414022,ETS2,AC005954.3,colon
414023,ETS2,MRPL54,colon
414025,ETS2,STAP2,colon
414026,ETS2,MPND,colon
414027,ETS2,DPP9,colon
414029,ETS2,AC005523.3,colon
414030,ETS2,FEM1A,colon
414031,ETS2,AC005523.2,colon
414032,ETS2,TICAM1,colon
414033,ETS2,RPL36,colon
414034,ETS2,C19orf70,colon
414035,ETS2,HSD11B1L,colon
414036,ETS2,LONP1,colon
414037,ETS2,CATSPERD,colon
414038,ETS2,KHSRP,colon
414039,ETS2,SLC25A23,colon
414040,ETS2,GPR108,colon
414041,ETS2,MIR6791,colon
414042,ETS2,TRIP10,colon
414043,ETS2,CTD-3128G10.6,colon
414044,ETS2,SH2D3A,colon
414045,ETS2,VAV1,colon
414046,ETS2,ANGPTL6,colon
414047,ETS2,PPAN-P2RY11,colon
414048,ETS2,PPAN,colon
414049,ETS2,SNORD105,colon
414050,ETS2,SNORD105B,colon
414051,ETS2,P2RY11,colon
414052,ETS2,DNMT1,colon
414053,ETS2,ICAM1,colon
414054,ETS2,CTD-2369P2.10,colon
414055,ETS2,FDX1L,colon
414056,ETS2,TYK2,colon
414057,ETS2,ILF3-AS1,colon
414058,ETS2,ILF3,colon
414059,ETS2,QTRT1,colon
414060,ETS2,DNM2,colon
414061,ETS2,MIR638,colon
414062,ETS2,TMED1,colon
414063,ETS2,C19orf38,colon
414064,ETS2,YIPF2,colon
414065,ETS2,C19orf52,colon
414066,ETS2,CCDC159,colon
414067,ETS2,TMEM205,colon
414068,ETS2,RAB3D,colon
414069,ETS2,EPOR,colon
414070,ETS2,ECSIT,colon
414071,ETS2,ELOF1,colon
414072,ETS2,ZNF627,colon
414073,ETS2,ZNF823,colon
414074,ETS2,ZNF564,colon
414075,ETS2,ZNF709,colon
414076,ETS2,CTD-2192J16.11,colon
414077,ETS2,PGK1P2,colon
414078,ETS2,ZNF490,colon
414079,ETS2,ZNF791,colon
414080,ETS2,CTD-2659N19.9,colon
414082,ETS2,JUNB,colon
414083,ETS2,HOOK2,colon
414084,ETS2,CTD-2659N19.10,colon
414085,ETS2,PRDX2,colon
414086,ETS2,RNASEH2A,colon
414087,ETS2,RAD23A,colon
414088,ETS2,NFIX,colon
414089,ETS2,AC005785.2,colon
414090,ETS2,AKAP8,colon
414091,ETS2,AKAP8L,colon
414092,ETS2,CTD-2231E14.4,colon
414093,ETS2,TPM4,colon
414094,ETS2,CTD-2231E14.5,colon
414095,ETS2,RAB8A,colon
414096,ETS2,USHBP1,colon
414097,ETS2,BABAM1,colon
414098,ETS2,CTD-2278I10.6,colon
414099,ETS2,CTD-2278I10.4,colon
414100,ETS2,MRPL34,colon
414101,ETS2,ABHD8,colon
414102,ETS2,DDA1,colon
414103,ETS2,ANO8,colon
414104,ETS2,GTPBP3,colon
414105,ETS2,CTD-2521M24.4,colon
414106,ETS2,MVB12A,colon
414107,ETS2,CTD-2521M24.8,colon
414108,ETS2,CTD-2521M24.6,colon
414109,ETS2,TMEM221,colon
414111,ETS2,RPL18A,colon
414112,ETS2,LSM4,colon
414113,ETS2,RN7SL513P,colon
414114,ETS2,GDF15,colon
414115,ETS2,MIR3189,colon
414117,ETS2,SUGP1,colon
414118,ETS2,MAU2,colon
414119,ETS2,LSR,colon
414120,ETS2,ZBTB32,colon
414121,ETS2,KMT2B,colon
414122,ETS2,IGFLR1,colon
414123,ETS2,U2AF1L4,colon
414124,ETS2,PSENEN,colon
414125,ETS2,AD000671.6,colon
414126,ETS2,AC002398.9,colon
414127,ETS2,AC002398.11,colon
414128,ETS2,LIN37,colon
414129,ETS2,AC002398.12,colon
414130,ETS2,HSPB6,colon
414131,ETS2,PROSER3,colon
414132,ETS2,NFKBID,colon
414133,ETS2,HCST,colon
414136,ETS2,LRFN3,colon
414137,ETS2,SDHAF1,colon
414138,ETS2,SYNE4,colon
414139,ETS2,ALKBH6,colon
414140,ETS2,AC002116.8,colon
414141,ETS2,AC002116.7,colon
414142,ETS2,TBCB,colon
414143,ETS2,CAPNS1,colon
414146,ETS2,C19orf33,colon
414147,ETS2,YIF1B,colon
414148,ETS2,KCNK6,colon
414149,ETS2,ACTN4,colon
414150,ETS2,LGALS4,colon
414151,ETS2,ECH1,colon
414152,ETS2,AC104534.2,colon
414153,ETS2,HNRNPL,colon
414154,ETS2,AC008982.2,colon
414156,ETS2,CTC-360G5.6,colon
414157,ETS2,SIRT2,colon
414158,ETS2,PAK4,colon
414159,ETS2,SAMD4B,colon
414160,ETS2,PAF1,colon
414161,ETS2,MED29,colon
414162,ETS2,ZFP36,colon
414163,ETS2,MIR4530,colon
414164,ETS2,PLEKHG2,colon
414165,ETS2,RPS16,colon
414166,ETS2,SUPT5H,colon
414167,ETS2,PSMC4,colon
414168,ETS2,ZNF546,colon
414169,ETS2,AC007842.1,colon
414170,ETS2,C19orf54,colon
414171,ETS2,SNRPA,colon
414173,ETS2,RAB4B,colon
414174,ETS2,RAB4B-EGLN2,colon
414175,ETS2,ATP5SL,colon
414176,ETS2,RPS19,colon
414177,ETS2,MIR6797,colon
414178,ETS2,CD79A,colon
414179,ETS2,ARHGEF1,colon
414180,ETS2,GSK3A,colon
414181,ETS2,AC006486.10,colon
414183,ETS2,AC006486.9,colon
414184,ETS2,CIC,colon
414185,ETS2,ZNF575,colon
414186,ETS2,ETHE1,colon
414187,ETS2,CEACAM16,colon
414188,ETS2,CTB-171A8.1,colon
414190,ETS2,BCL3,colon
414191,ETS2,MIR8085,colon
414192,ETS2,ERCC1,colon
414193,ETS2,RTN2,colon
414194,ETS2,PPM1N,colon
414195,ETS2,VASP,colon
414196,ETS2,IRF2BP1,colon
414197,ETS2,PPP5C,colon
414198,ETS2,SLC1A5,colon
414199,ETS2,CTB-147N14.6,colon
414201,ETS2,AP2S1,colon
414202,ETS2,TMEM160,colon
414203,ETS2,ZC3H4,colon
414204,ETS2,MIR3190,colon
414205,ETS2,BBC3,colon
414206,ETS2,GLTSCR2,colon
414207,ETS2,LIG1,colon
414208,ETS2,C19orf68,colon
414209,ETS2,ZNF114,colon
414210,ETS2,CARD8,colon
414211,ETS2,CTC-453G23.8,colon
414212,ETS2,CCDC114,colon
414213,ETS2,EMP3,colon
414214,ETS2,TMEM143,colon
414215,ETS2,SYNGR4,colon
414216,ETS2,FAM83E,colon
414217,ETS2,RPL18,colon
414218,ETS2,SPHK2,colon
414219,ETS2,AC022154.7,colon
